Tempo,G frontal,G vertical,G lateral,ID antena,RSSI,Fase,Frequencia,Atividade,Sexo,Quarto,Pessoa
0.0,0.43619,0.90487,-0.35577,3,-59.0,2.2841,921.25,1,M,d2,p22
0.25,0.43619,0.90487,-0.35577,3,-58.0,5.2094,920.25,1,M,d2,p22
0.5,0.52999,0.70966,-0.64085,3,-58.0,1.3453,923.75,1,M,d2,p22
1.0,0.83485,0.51445,-0.61804,3,-62.0,2.1108,925.25,1,M,d2,p22
2.0,0.67069,0.3422,-0.8119,2,-59.5,6.231,925.75,3,M,d2,p22
2.5,0.9052,0.22737,-0.4356,3,-59.5,6.0868,921.25,3,M,d2,p22
2.55,0.9052,0.22737,-0.4356,3,-60.0,5.5898,921.25,3,M,d2,p22
3.0,1.1397,-0.059712,-0.24174,3,-64.0,5.7294,922.25,3,M,d2,p22
3.5,1.1397,-0.059712,-0.24174,3,-66.0,5.5898,923.25,3,M,d2,p22
4.25,1.4094,-0.059712,-0.082102,3,-65.5,1.1996,924.25,3,M,d2,p22
4.75,1.4094,-0.059712,-0.082102,3,-63.5,0.3068,920.75,3,M,d2,p22
5.25,1.2921,-0.094162,-0.025087,3,-63.0,3.9991,920.25,3,M,d2,p22
5.75,1.0342,0.043636,-0.093505,3,-63.5,5.191,923.25,3,M,d2,p22
6.25,1.0342,0.043636,-0.093505,3,-63.5,2.2534,922.75,3,M,d2,p22
7.0,1.1514,-0.048229,-0.025087,3,-64.0,0.40037,925.75,3,M,d2,p22
8.0,1.1045,-0.059712,-0.025087,3,-62.5,6.116,922.25,3,M,d2,p22
8.5,0.99901,-0.025263,-0.10491,3,-62.5,2.7673,922.75,3,M,d2,p22
9.0,0.99901,-0.025263,-0.10491,3,-63.5,3.361,921.75,3,M,d2,p22
9.5,0.99901,-0.025263,-0.10491,3,-64.5,0.67342,925.75,3,M,d2,p22
10.0,1.2101,-0.12861,0.0091224,3,-64.0,4.1939,920.25,3,M,d2,p22
